name_m,is_m,det_m,lexeme_m,from_m,state_m,pro_m,likes_m,activity_m,name_m2,is_m2,det_m2,lexeme_m2,from_m2,state_m2,pro_m2,likes_m2,activity_m2
Jane,is,an,actor,from,Wisconsin.,She,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.
Jane,is,an,actress,from,Wisconsin.,She,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.
Jane,is,a,businesswoman,from,Hawaii.,She,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.
John,is,a,businessperson,from,Hawaii.,He,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.
John,is,a,businessman,from,Hawaii.,She,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.
Jane,is,a,camera operator,from,New Mexico.,She,likes,camping.x-x-x,sale,bag,staves,finals,add,Forget Lack.,x-x-x,wounds,bracket.
Jane,is,a,camerawoman,from,New Mexico.,She,likes,camping.x-x-x,sale,bag,staves,finals,Add Forget.,x-x-x,else,wounds.
John,is,a,camera operator,from,New Mexico.,He,likes,camping.x-x-x,sale,bag,staves,finals,add,Forget Lack.,x-x-x,wounds,bracket.
John,is,a,cameraman,from,New Mexico.,She,likes,camping.x-x-x,sale,bag,staves,finals,Add Forget.,x-x-x,else,wounds.
Jane,is,a,congressperson,from,Vermont.,She,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.
Jane,is,a,congresswoman,from,Vermont.,She,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.
John,is,a,congressperson,from,Vermont.,He,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.
John,is,a,congressman,from,Vermont.,She,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.
Jane,is,a,craftsperson,from,Montana.,She,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.
Jane,is,a,craftswoman,from,Montana.,She,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.
John,is,a,craftsperson,from,Montana.,He,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.
John,is,a,craftsman,from,Montana.,She,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.
Jane,is,a,crewmember,from,Utah.,She,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.
Jane,is,a,crewwoman,from,Utah.,She,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.
John,is,a,crewmember,from,Utah.,He,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.
John,is,a,crewman,from,Utah.,She,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.
Jane,is,a,firefighter,from,Kentucky.,She,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.
Jane,is,a,firewoman,from,Kentucky.,She,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.
John,is,a,firefighter,from,Kentucky.,He,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.
John,is,a,fireman,from,Kentucky.,She,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.
Jane,is,a,foreperson,from,Kansas.,She,likes,cycling.x-x-x,okay,cent,clauses,lots,Senate.,x-x-x,smell,expired.
Jane,is,a,forewoman,from,Kansas.,She,likes,cycling.x-x-x,okay,cent,clauses,lots,Senate.,x-x-x,smell,expired.
John,is,a,foreperson,from,Kansas.,He,likes,cycling.x-x-x,okay,cent,clauses,lots,Senate.,x-x-x,smell,expired.
John,is,a,foreman,from,Kansas.,She,likes,cycling.x-x-x,okay,cent,clauses,lots,Senate.,x-x-x,smell,expired.
Jane,is,an,heir,from,Virginia.,She,likes,studying.x-x-x,cash,etc,wept,jobs,Answered.,x-x-x,worse,democrat.
Jane,is,an,heiress,from,Virginia.,She,likes,studying.x-x-x,cash,etc,wept,jobs,Answered.,x-x-x,worse,democrat.
John,is,an,heir,from,Virginia.,He,likes,studying.x-x-x,cash,etc,wept,jobs,Answered.,x-x-x,worse,democrat.
John,is,an,heir,from,Virginia.,She,likes,studying.x-x-x,cash,etc,wept,jobs,Answered.,x-x-x,worse,democrat.
Jane,is,a,hero,from,Arizona.,She,likes,painting.x-x-x,sale,cent,exclude,laws,Refused.,x-x-x,kinds,democrat.
Jane,is,a,heroine,from,Arizona.,She,likes,painting.x-x-x,sale,cent,exclude,laws,Refused.,x-x-x,kinds,democrat.
John,is,a,hero,from,Arizona.,He,likes,painting.x-x-x,sale,cent,exclude,laws,Refused.,x-x-x,kinds,democrat.
John,is,a,hero,from,Arizona.,She,likes,painting.x-x-x,sale,cent,exclude,laws,Refused.,x-x-x,kinds,democrat.
Jane,is,a,host,from,Oregon.,She,likes,running.x-x-x,okay,cent,oneself,rise,Waited.,x-x-x,worse,century.
Jane,is,a,hostess,from,Oregon.,She,likes,running.x-x-x,okay,cent,oneself,rise,Waited.,x-x-x,worse,century.
John,is,a,host,from,Oregon.,He,likes,running.x-x-x,okay,cent,oneself,rise,Waited.,x-x-x,worse,century.
John,is,a,host,from,Oregon.,She,likes,running.x-x-x,okay,cent,oneself,rise,Waited.,x-x-x,worse,century.
Jane,is,a,hunter,from,West Virginia.,She,likes,surfing.x-x-x,sale,cent,unload,hear,Send Promised.,x-x-x,worse,implant.
Jane,is,a,huntress,from,West Virginia.,She,likes,surfing.x-x-x,sale,cent,unload,hear,Send Promised.,x-x-x,worse,implant.
John,is,a,hunter,from,West Virginia.,He,likes,surfing.x-x-x,sale,cent,unload,hear,Send Promised.,x-x-x,worse,implant.
John,is,a,hunter,from,West Virginia.,She,likes,surfing.x-x-x,sale,cent,unload,hear,Send Promised.,x-x-x,worse,implant.
Jane,is,a,layperson,from,Oklahoma.,She,likes,singing.x-x-x,okay,ago,neared,lots,Answered.,x-x-x,worth,custody.
Jane,is,a,laywoman,from,Oklahoma.,She,likes,singing.x-x-x,okay,ago,neared,lots,Answered.,x-x-x,worth,custody.
John,is,a,layperson,from,Oklahoma.,He,likes,singing.x-x-x,okay,ago,neared,lots,Answered.,x-x-x,worth,custody.
John,is,a,layman,from,Oklahoma.,She,likes,singing.x-x-x,okay,ago,neared,lots,Answered.,x-x-x,worth,custody.
Jane,is,a,police officer,from,Minnesota.,She,likes,cycling.x-x-x,hell,cent,demolish,costs,senate,Surprised.,x-x-x,inches,bracket.
Jane,is,a,policewoman,from,Minnesota.,She,likes,cycling.x-x-x,hell,cent,demolish,costs,Senate.,x-x-x,yours,inches.
John,is,a,police officer,from,Minnesota.,He,likes,cycling.x-x-x,hell,cent,demolish,costs,senate,Surprised.,x-x-x,inches,bracket.
John,is,a,policeman,from,Minnesota.,She,likes,cycling.x-x-x,hell,cent,demolish,costs,Senate.,x-x-x,yours,inches.
Jane,is,a,salesperson,from,Maine.,She,likes,hiking.x-x-x,sale,cent,shillings,none,React.,x-x-x,funny,coated.
Jane,is,a,saleswoman,from,Maine.,She,likes,hiking.x-x-x,sale,cent,shillings,none,React.,x-x-x,funny,coated.
John,is,a,salesperson,from,Maine.,He,likes,hiking.x-x-x,sale,cent,shillings,none,React.,x-x-x,funny,coated.
John,is,a,salesman,from,Maine.,She,likes,hiking.x-x-x,sale,cent,shillings,none,React.,x-x-x,funny,coated.
Jane,is,a,stunt double,from,Illinois.,She,likes,dancing.x-x-x,cash,cent,fronts,rates,forgot,Smell.,x-x-x,jersey,billion.
Jane,is,a,stuntwoman,from,Illinois.,She,likes,dancing.x-x-x,cash,cent,fronts,rates,Forgot.,x-x-x,worse,jersey.
John,is,a,stunt double,from,Illinois.,He,likes,dancing.x-x-x,cash,cent,fronts,rates,forgot,Smell.,x-x-x,jersey,billion.
John,is,a,stuntman,from,Illinois.,She,likes,dancing.x-x-x,cash,cent,fronts,rates,Forgot.,x-x-x,worse,jersey.
Jane,is,a,villain,from,New York.,She,likes,running.x-x-x,cash,etc,revivals,lots,Push Wind.,x-x-x,sight,century.
Jane,is,a,villainess,from,New York.,She,likes,running.x-x-x,cash,etc,revivals,lots,Push Wind.,x-x-x,sight,century.
John,is,a,villain,from,New York.,He,likes,running.x-x-x,cash,etc,revivals,lots,Push Wind.,x-x-x,sight,century.
John,is,a,villain,from,New York.,She,likes,running.x-x-x,cash,etc,revivals,lots,Push Wind.,x-x-x,sight,century.
Jane,is,a,meteorologist,from,Arkansas.,She,likes,singing.x-x-x,hell,ago,adsorption,send,Withdraw.,x-x-x,worse,laughed.
Jane,is,a,weatherwoman,from,Arkansas.,She,likes,singing.x-x-x,hell,ago,adsorption,send,Withdraw.,x-x-x,worse,laughed.
John,is,a,meteorologist,from,Arkansas.,He,likes,singing.x-x-x,hell,ago,adsorption,send,Withdraw.,x-x-x,worse,laughed.
John,is,a,weatherman,from,Arkansas.,She,likes,singing.x-x-x,hell,ago,adsorption,send,Withdraw.,x-x-x,worse,laughed.
